TotalDisplacement 3348653
MaxDisplacement 389
NumCells 210904
c161712 1392 10911
c16025 1394 5271
c17145 1392 5067
c14412 1392 4683
c160813 1392 10959
c162624 1397 10995
c152063 1392 5535
c150792 1393 5823
c210115 1388 6183
c14397 1394 4911
c17032 1367 5295
c151974 1392 5487
c15699 1393 4239
c13902 1400 5319
c209763 1394 5883
c161423 1394 10971
c13966 1363 5427
c150940 1394 5907
c209757 1340 5403
c16015 1380 4647
c20486 1394 4323
c13967 1364 5391
c53636 1395 4047
c160659 1395 11007
c18361 1396 4755
c18177 1385 4611
c16268 1394 4359
c209887 1388 5559
c16495 1397 5259
c16290 1396 4575
c162097 1410 11019
c17015 1396 5415
c19125 1396 4023
c16047 1391 5187
c151025 1403 5559
c151495 1367 5367
c17053 1399 5331
c210532 1396 5607
c18110 1397 4875
c16031 1342 5091
c16260 1398 3963
c129108 1398 7851
c13590 1378 5295
c13984 1381 5283
c14327 1397 5199
c151954 1398 5571
c151493 1380 5367
c13671 1411 5187
c17056 1384 5355
c151123 1403 6183
c16550 1371 5427
c13693 1394 5175
c210526 1402 5055
c14778 1392 4455
c15931 1400 4311
c13670 1405 5115
c151950 1400 5487
c151060 1372 5391
c14856 1400 3891
c16018 1394 5139
c17049 1406 5247
c151078 1402 5631
c16274 1402 3999
c14441 1401 4995
c150994 1401 5643
c16745 1395 5355
c15740 1405 5175
c209755 1406 5355
c13661 1384 5379
c161713 1402 10899
c13913 1414 5139
c16054 1394 4623
c13779 1350 5403
c17037 1389 5283
c13547 1403 4383
c14400 1364 4827
c152055 1404 5667
c15711 1396 5379
c151270 1402 6159
c15930 1393 4611
c18150 1387 4599
c151143 1404 5883
c16058 1413 4611
c160592 1405 10863
c14089 1408 4707
c151927 1406 5571
c17726 1400 5283
c151080 1397 5547
c161424 1404 11043
c14343 1410 3843
c13982 1393 5367
c14855 1405 3927
c151050 1413 5547
c151081 1405 5691
c14780 1400 4647
c151429 1407 6159
c17682 1407 4359
c14430 1378 4935
c14789 1384 4443
c17148 1389 5151
c151124 1406 6195
c20495 1408 3987
c14798 1415 4731
c16035 1391 5163
c151943 1407 5619
c16255 1407 4095
c151048 1384 5427
c207689 1407 3855
c15520 1408 4407
c13986 1397 5439
c16746 1401 5379
c16737 1410 5331
c160596 1399 10851
c151042 1408 5475
c16259 1415 3999
c160423 1409 10935
c54552 1409 4179
c16109 1409 4779
c46880 1409 2655
c18112 1396 4959
c19136 1409 4143
c13686 1410 5127
c16338 1408 5319
c14433 1404 5043
c151479 1410 5499
c16270 1410 3831
c16028 1390 4947
c54554 1412 4203
